Name,Right Ascension,Declination,Apparent Magnitude,Constellation
HD 65867,07 58 21.47,-51 26 54.9,6.44,Carina
V469 Carinae,08 29 29.82,-54 12 42.5,6.44,Carina
HD 49705,06 46 41.70,-54 41 42.2,6.45,Carina
HD 81896,09 24 37.16,-70 04 32.8,6.45,Carina
V495 Carinae,10 07 56.64,-62 13 17.2,6.45,Carina
WR 24,10 43 52.27,-60 07 04.0,6.46,Carina
HD 52622,06 58 36.39,-56 23 41.2,6.46,Carina
HD 54967,07 07 16.28,-59 42 59.2,6.46,Carina
HD 93738,10 47 53.55,-64 15 46.3,6.46,Carina
HD 49219,06 44 12.81,-54 41 43.9,6.47,Carina
HD 70267,08 17 55.79,-59 10 00.3,6.47,Carina
V487 Carinae,09 45 40.64,-57 11 09.8,6.47,Carina
HD 93695,10 47 44.34,-59 52 30.9,6.47,Carina
HD 95122,10 57 20.22,-69 02 17.0,6.48,Carina
HD 92399,10 38 45.39,-59 15 44.7,6.5,Carina
HD 96248,11 04 57.57,-59 51 32.0,6.58,Carina
HD 57852/57853,07 20 21.43,-52 18 31.91,6.63,Carina
QX Carinae,09 54 33.88,-58 25 16.6,6.64,Carina
HD 96446,11 06 05.82,-59 56 59.6,6.68,Carina
HD 53143,06 59 59.66,-61 20 10.3,6.68,Carina
VY Carinae,10 44 32.69,-57 33 55.3,6.91,Carina
AG Carinae,10 56 11.58,-60 27 12.8,6.96,Carina
BO Carinae,10 45 50.63,-59 29 19.5,7.18,Carina
HD 93403,10 45 44.12,-59 24 28.1,7.3,Carina
HD 93129A,10 43 57.46,-59 32 51.2,7.31,Carina
V Carinae,08 28 43.70,-60 07 21.3,7.31,Carina
HD 93843,10 48 37.78,-60 13 25.5,7.33,Carina
HD 95086,10 57 03.0,-68 40 02,7.36,Carina
HD 93250,10 44 45.03,-59 33 54.7,7.5,Carina
HR Carinae,10 22 53.84,-59 37 28.4,7.57,Carina
WR 40,11 06 17.20,-65 30 35.2,7.7,Carina
HD 93205,10 44 33.74,-59 44 15.5,7.75,Carina
IW Carinae,09 26 53.30,-63 37 48.9,7.9,Carina
HD 65216,07 53 41.3,-63 38 50.4,7.98,Carina
HD 97152,11 10 04.08,-60 58 45.0,8.07,Carina
HD 63765,07 47 49.72,-54 15 50.9,8.1,Carina
Y Carinae,10 33 10.85,-58 29 55.1,8.16,Carina
HD 51608,06 54 51,-55 15 34,8.17,Carina
YZ Carinae,10 28 16.85,-59 21 00.7,8.24,Carina
WR 16,09 54 52.90,-57 43 38.3,8.32,Carina
E Carinae,11 12 04.51,-61 05 42.9,8.52,Carina
RT Carinae,10 44 47.15,-59 24 48.1,8.55,Carina
HD 85567,09 50 28.54,-60 58 03.0,8.57,Carina
UX Carinae,10 29 11.24,-57 36 48.3,8.62,Carina
XZ Carinae,11 04 13.47,-60 58 47.7,8.67,Carina
GG Carinae,10 55 58.92,-60 23 33.4,8.7,Carina
V403 Carinae,10 35 40.67,-58 12 44.6,8.74,Carina
Tr 16-104,10 44 47.31,-59 43 53.2,8.75,Carina
V348 Carinae,10 29 59.00,-57 40 32.8,8.78,Carina
WR 25,10 44 10.34,-59 43 11.4,8.8,Carina
HD 60435,07 30 56.99,-57 59 28.2,8.89,Carina
WR 23,10 41 38.32,-58 46 18.7,9.03,Carina
HD 92024,10 36 08.31,-58 13 04.77,9.04,Carina
GH Carinae,11 10 44.59,-60 45 01.0,9.2,Carina
WZ Carinae,10 55 18.73,-60 56 24.0,9.37,Carina
CPD -59 2635,10 45 12.72,-59 44 46.2,9.43,Carina
V392 Carinae,07 58 10.47,-60 51 57.5,9.49,Carina
XY Carinae,11 02 16.07,-64 15 46.5,9.49,Carina
HD 87643,10 04 30.29,-58 39 52.1,9.5,Carina
CPD -59 2628,10 45 08.23,-59 40 49.5,9.52,Carina
HD 90657,10 26 31.41,-58 38 26.2,9.69,Carina
GL Carinae,11 14 39.84,-60 39 36.3,9.7,Carina
DW Carinae,10 43 10.07,-60 02 11.7,9.85,Carina
73 17,10 11 02.95,-57 48 13.9,9.99,Carina
CPD -57 2874,10 15 21.97,-57 51 42.7,10.16,Carina
GZ Carinae,10 20 20.37,-59 22 35.8,10.2,Carina
HH Carinae,10 53 36.47,-59 27 18.2,10.31,Carina
EY Carinae,10 42 23.03,-61 09 57.3,10.35,Carina
HD 307938,10 42 41.52,-64 21 04.4,10.57,Carina
WR 18,10 17 02.27,-57 54 47.9,10.6,Carina
HD 94546,10 53 44.82,-59 30 46.7,10.7,Carina
He 3-519,10 53 59.59,-60 26 44.3,10.85,Carina
NGC 3603-A1,11 15 07.31,-61 15 38.4,11.12,Carina
CR Carinae,10 32 54.07,-58 31 15.5,11.3,Carina
NGC 3603-B,11 15 07.41,-61 15 38.6,11.33,Carina
Inne' tar,11 16 00.21,-57 32 51.6,11.52,Carina
QU Carinae,11 05 42.49,-68 37 58.2,11.54,Carina
WR 30,10 51 06.01,-62 17 01.7,11.73,Carina
WRA 751,11 08 40.06,-60 42 51.7,11.79,Carina
NGC 3603-C,11 15 07.59,-61 15 18.0,11.89,Carina
FO 15,10 45 36.32,-59 48 23.2,12.09,Carina
her 25,11 15 07.8,-61 15 17,12.27,Carina
WR 30a,10 51 38.93,-60 56 35.2,12.73,Carina
He 2-38,09 54 43.29,-57 18 52.4,12.92,Carina
BP 6502,10 44 10.23,-69 18 18.0,13.09,Carina
WR 20a,10 23 58.00,-57 45 49.0,13.5,Carina
LH 288,10 44 21.32,-61 12 38.4,13.92,Carina
OGLE-TR-113,10 52 24.4,-61 26 48.5,14.42,Carina
2 0921-630,09 22 35.20,-63 17 38.5,15.3,Carina
OGLE-TR-123,11 06 51.1,-61 11 10.5,15.47,Carina
OGLE-TR-111,10 53 17.9,-61 24 20.3,15.55,Carina
OGLE-TR-132,10 50 34.7,-61 57 25.9,15.72,Carina
OY Carinae,10 06 22.07,-70 14 04.6,16.2,Carina
OGLE-TR-182,11 09 18.73,-61 05 42.93,16.84,Carina
Gaa Caiopeiae,00 56 42.50,+60 43 00.3,2.15,Caiopeia
Alpha Caiopeiae,00 40 30.39,+56 32 14.7,2.24,Caiopeia
Beta Caiopeiae,00 09 10.09,+59 09 00.8,2.28,Caiopeia
Delta Caiopeiae,01 25 48.60,+60 14 07.5,2.68,Caiopeia
Epilon Caiopeiae,01 54 23.68,+63 40 12.5,3.35,Caiopeia
Eta Caiopeiae,00 49 05.10,+57 48 59.6,3.46,Caiopeia
Zeta Caiopeiae,00 36 58.27,+53 53 49.0,3.69,Caiopeia
50 Caiopeiae,02 03 26.19,+72 25 16.5,3.95,Caiopeia
Kappa Caiopeiae,00 32 59.99,+62 55 54.4,4.17,Caiopeia
Theta Caiopeiae,01 11 05.93,+55 08 59.8,4.34,Caiopeia
Iota Caiopeiae,02 29 03.99,+67 24 08.6,4.46,Caiopeia
Oicron Caiopeiae,00 44 43.50,+48 17 03.8,4.48,Caiopeia
48 Caiopeiae,02 01 57.55,+70 54 25.4,4.49,Caiopeia
Rho Caiopeiae,23 54 23.04,+57 29 57.8,4.51,Caiopeia
Upilon2 Caiopeiae,00 56 40.01,+59 10 52.2,4.62,Caiopeia
Chi Caiopeiae,01 33 55.93,+59 13 55.5,4.68,Caiopeia
Pi Caiopeiae,01 25 55.90,+68 07 47.8,4.72,Caiopeia
Labda Caiopeiae,00 31 46.32,+54 31 20.4,4.74,Caiopeia
Xi Caiopeiae,00 42 03.88,+50 30 45.1,4.8,Caiopeia
HR 244,00 53 04.28,+61 07 24.8,4.8,Caiopeia
R Caiopeiae,23 58 24.80,+51 23 19.0,4.8,Caiopeia
Upilon1 Caiopeiae,00 55 00.19,+58 58 22.1,4.83,Caiopeia
1 Caiopeiae,23 06 36.81,+59 25 11.2,4.84,Caiopeia
HD 19275,03 11 56.24,+74 23 37.9,4.85,Caiopeia
Tau Caiopeiae,23 47 03.39,+58 39 06.7,4.88,Caiopeia
iga Caiopeiae,23 59 00.53,+55 45 17.8,4.88,Caiopeia
AR Caiopeiae,23 30 01.92,+58 32 56.1,4.89,Caiopeia
Nu Caiopeiae,00 48 49.99,+50 58 05.5,4.9,Caiopeia
Pi Caiopeiae,00 43 28.09,+47 01 28.7,4.95,Caiopeia
Phi Caiopeiae,01 20 04.92,+58 13 53.8,4.95,Caiopeia
4 Caiopeiae,23 24 50.25,+62 16 58.2,4.96,Caiopeia
Oega Caiopeiae,01 56 00.00,+68 41 07.0,4.97,Caiopeia
HD 3240,00 36 08.29,+54 10 06.4,5.08,Caiopeia
V509 Caiopeiae,23 00 05.10,+56 56 43.4,5.1,Caiopeia
u Caiopeiae,01 08 12.92,+54 55 27.2,5.17,Caiopeia
HD 15920,02 38 02.09,+72 49 05.6,5.17,Caiopeia
42 Caiopeiae,01 42 55.73,+70 37 21.2,5.18,Caiopeia
49 Caiopeiae,02 05 31.58,+76 06 54.4,5.22,Caiopeia
47 Caiopeiae,02 05 07.05,+77 16 53.2,5.27,Caiopeia
40 Caiopeiae,01 38 30.94,+73 02 24.3,5.28,Caiopeia
HD 11946,01 59 37.99,+64 37 17.9,5.29,Caiopeia
31 Caiopeiae,01 10 39.27,+68 46 43.3,5.32,Caiopeia
HD 4775,00 50 43.57,+64 14 51.3,5.35,Caiopeia
12 Caiopeiae,00 24 47.49,+61 49 51.8,5.38,Caiopeia
HD 4222,00 45 17.20,+55 13 17.1,5.41,Caiopeia
23 Caiopeiae,00 47 46.02,+74 50 51.3,5.42,Caiopeia
6 Caiopeiae,23 48 50.17,+62 12 52.3,5.43,Caiopeia
HD 3474,00 39 09.89,+49 21 16.5,5.45,Caiopeia
HD 9900,01 38 07.56,+57 58 39.5,5.55,Caiopeia
HD 223173,23 47 01.91,+57 27 05.0,5.55,Caiopeia
HD 5408,00 56 46.94,+60 21 46.3,5.56,Caiopeia
HD 6960,01 11 25.52,+64 12 09.8,5.56,Caiopeia
HD 220369,23 22 32.52,+60 08 00.6,5.56,Caiopeia
10 Caiopeiae,00 06 26.53,+64 11 46.2,5.57,Caiopeia
32 Caiopeiae,01 11 41.37,+65 01 08.0,5.57,Caiopeia
43 Caiopeiae,01 42 20.44,+68 02 35.0,5.57,Caiopeia
HR 8832,23 13 14.74,+57 10 03.5,5.57,Caiopeia
HR 9059,23 57 08.49,+55 42 20.6,5.57,Caiopeia
HD 224893,00 01 37.02,+61 13 22.1,5.58,Caiopeia
HD 1976,00 24 15.64,+52 01 11.7,5.58,Caiopeia
HD 219623,23 16 42.19,+53 12 50.6,5.58,Caiopeia
HD 2774,00 31 41.21,+52 50 22.4,5.59,Caiopeia
53 Caiopeiae,02 03 00.19,+64 23 24.1,5.59,Caiopeia
HD 17948,02 55 56.74,+61 31 15.8,5.59,Caiopeia
HR 511,01 47 44.06,+63 51 11.2,5.63,Caiopeia
YZ Ca,00 45 39.11,+74 59 17.3,5.64,Caiopeia
68 Caiopeiae,00 44 26.23,+47 51 50.3,5.66,Caiopeia
2 Caiopeiae,23 09 44.14,+59 19 57.7,5.68,Caiopeia
HD 9352,01 33 25.71,+58 19 38.4,5.69,Caiopeia
HD 2054,00 25 06.39,+53 02 48.4,5.72,Caiopeia
HD 1239,00 16 57.05,+61 31 59.5,5.74,Caiopeia
HD 6676,01 08 33.45,+58 15 48.5,5.77,Caiopeia
HD 3283,00 36 27.34,+60 19 34.4,5.78,Caiopeia
44 Caiopeiae,01 43 19.74,+60 33 04.9,5.78,Caiopeia
HD 225289,00 05 06.13,+61 18 50.3,5.8,Caiopeia
HD 16024,02 37 36.01,+65 44 43.3,5.8,Caiopeia
38 Caiopeiae,01 31 13.52,+70 15 53.2,5.82,Caiopeia
HD 3856,00 42 03.44,+66 08 51.4,5.83,Caiopeia
HR 297,01 04 19.55,+61 34 48.9,5.83,Caiopeia
HD 1279,00 17 09.04,+47 56 50.7,5.86,Caiopeia
HD 4440,00 48 08.88,+72 40 28.0,5.86,Caiopeia
HD 225009,00 02 36.08,+66 05 56.3,5.87,Caiopeia
V762 Caiopeiae,01 16 11.90,+71 44 37.8,5.87,Caiopeia
HD 19065,03 07 19.02,+64 03 27.4,5.89,Caiopeia
9 Caiopeiae,00 04 13.66,+62 17 15.6,5.9,Caiopeia
HD 6130,01 03 37.01,+61 04 29.4,5.92,Caiopeia
HD 2952,00 33 10.32,+54 53 42.3,5.93,Caiopeia
HD 2626,00 30 19.91,+59 58 39.2,5.94,Caiopeia
U Caiopeiae,02 51 58.75,+68 53 18.7,5.94,Caiopeia
HD 16769,02 44 49.67,+67 49 29.0,5.95,Caiopeia
HD 5550,00 58 31.00,+66 21 06.6,5.97,Caiopeia
HR 5,00 06 15.54,+58 26 12.1,5.98,Caiopeia
HD 6211,01 04 02.39,+52 30 08.3,5.99,Caiopeia
52 Caiopeiae,02 02 52.49,+64 54 05.4,6.0,Caiopeia
HD 11857,01 58 33.22,+61 41 52.1,6.02,Caiopeia
V373 Caiopeiae,23 55 33.84,+57 24 43.8,6.03,Caiopeia
HD 4817,00 51 16.39,+61 48 19.8,6.04,Caiopeia
55 Caiopeiae,02 14 29.10,+66 31 28.0,6.05,Caiopeia
AO Caiopeiae,00 17 43.07,+51 25 59.1,6.11,Caiopeia
HD 12173,02 03 10.51,+73 51 02.0,6.12,Caiopeia
HD 9030,01 30 52.01,+66 05 53.2,6.15,Caiopeia
HD 17958,02 56 24.66,+64 19 56.8,6.17,Caiopeia
HD 224784,00 00 30.98,+59 33 35.1,6.18,Caiopeia
HD 2589,00 30 54.20,+77 01 10.2,6.18,Caiopeia
13 Caiopeiae,00 31 25.20,+66 31 10.7,6.18,Caiopeia
HD 3924,00 42 31.01,+58 45 12.4,6.18,Caiopeia
V773 Caiopeiae,01 44 17.91,+57 32 12.0,6.18,Caiopeia
HD 5343,00 56 12.93,+57 59 47.7,6.2,Caiopeia
HD 224870,00 01 19.24,+49 58 53.7,6.22,Caiopeia
HD 4881,00 51 33.79,+51 34 17.2,6.22,Caiopeia
HD 225094,00 03 25.72,+63 38 25.9,6.24,Caiopeia
HD 217673,23 01 30.72,+57 06 19.7,6.24,Caiopeia
HD 222618,23 41 54.56,+57 15 35.9,6.24,Caiopeia
HD 10587,01 44 46.15,+57 05 21.2,6.25,Caiopeia
HD 13222,02 13 21.05,+74 01 40.1,6.25,Caiopeia
HD 21970,03 39 25.10,+75 44 22.6,6.25,Caiopeia
RZ Caiopeiae,02 48 55.51,+69 38 03.1,6.26,Caiopeia
HD 222570,23 41 26.80,+49 30 44.9,6.26,Caiopeia
HD 5128,00 53 47.53,+52 41 21.6,6.27,Caiopeia
HD 5273,00 55 05.22,+48 40 42.8,6.28,Caiopeia
HD 6540,01 07 09.44,+53 29 53.5,6.31,Caiopeia
HD 7732,01 20 19.45,+77 34 13.7,6.31,Caiopeia
35 Caiopeiae,01 21 05.19,+64 39 29.5,6.33,Caiopeia
HD 10362,01 42 58.32,+61 25 15.9,6.33,Caiopeia
HD 223386,23 48 53.91,+59 58 44.2,6.33,Caiopeia
HD 8424,01 25 46.30,+70 58 47.7,6.34,Caiopeia
HD 10293,01 42 17.69,+58 37 39.9,6.35,Caiopeia
HD 8272,01 23 21.27,+58 08 35.6,6.36,Caiopeia
HD 223421,23 49 11.89,+58 57 47.6,6.36,Caiopeia
HD 7925,01 21 58.94,+76 14 20.0,6.37,Caiopeia
V805 Caiopeiae,03 30 19.39,+71 51 50.0,6.37,Caiopeia
HD 4818,00 50 57.27,+51 30 28.9,6.38,Caiopeia
HD 4295,00 46 38.23,+69 19 31.3,6.39,Caiopeia
HD 5357,00 56 54.99,+68 46 32.7,6.39,Caiopeia
V465 Caiopeiae,01 18 13.89,+57 48 11.4,6.39,Caiopeia
HD 220074,23 20 14.37,+61 58 12.5,6.39,Caiopeia
HD 5715,01 00 30.87,+70 58 58.8,6.4,Caiopeia
V761 Caiopeiae,01 13 09.82,+61 42 22.3,6.4,Caiopeia
HD 222682,23 42 31.41,+61 40 45.8,6.4,Caiopeia
HD 371,00 08 32.87,+63 12 14.6,6.41,Caiopeia
HD 2904,00 33 19.20,+70 58 54.7,6.41,Caiopeia
HD 4362,00 46 42.47,+59 34 28.3,6.41,Caiopeia
HD 6497,01 07 00.07,+56 56 06.9,6.41,Caiopeia
HD 218440,23 07 10.45,+59 43 38.6,6.41,Caiopeia
HD 220130,23 20 34.54,+62 12 47.8,6.41,Caiopeia
HR 9017,23 48 39.03,+64 52 35.3,6.41,Caiopeia
HD 1142,00 15 54.87,+61 00 00.7,6.43,Caiopeia
HD 217944,23 03 21.33,+58 33 50.0,6.43,Caiopeia
HD 5459,00 57 19.53,+61 25 19.0,6.44,Caiopeia
HD 222748,23 43 05.03,+51 56 21.6,6.44,Caiopeia
HD 1601,00 20 30.92,+48 58 07.1,6.46,Caiopeia
HD 17581,02 51 45.92,+58 18 51.5,6.46,Caiopeia
HD 222932,23 44 48.37,+55 47 58.9,6.46,Caiopeia
16 Caiopeiae,00 34 24.89,+66 45 01.3,6.47,Caiopeia
V801 Caiopeiae,03 08 54.18,+62 23 04.5,6.47,Caiopeia
HD 223552,23 50 22.12,+51 37 18.1,6.47,Caiopeia
HD 224404,23 57 33.52,+60 01 25.0,6.47,Caiopeia
HD 5927,01 01 27.04,+49 32 39.2,6.48,Caiopeia
HD 6028,01 02 18.47,+51 02 05.9,6.48,Caiopeia
HD 9811,01 37 47.20,+64 44 21.7,6.49,Caiopeia
HR 8770,23 02 43.80,+55 14 11.0,6.5,Caiopeia
HD 19439,03 11 00.80,+64 53 46.7,6.5,Caiopeia
V649 Caiopeiae,23 16 27.05,+61 57 46.6,6.53,Caiopeia
54 Caiopeiae,02 09 07.69,+71 33 09.3,6.57,Caiopeia
V784 Caiopeiae,02 10 25.5,+59 58 47.3,6.64,Caiopeia
HD 11755,01 58 50.0,+73 09 09,6.87,Caiopeia
TU Caiopeiae,00 26 19.45,+51 16 49.3,6.88,Caiopeia
HD 223960,23 53 49.98,+60 51 12.2,6.9,Caiopeia
V Caiopeiae,23 11 40.72,+59 41 59.0,6.9,Caiopeia
HD 14817,02 25 40.11,+61 32 58.8,7.02,Caiopeia
HD 17505,02 51 07.98,+60 25 03.9,7.08,Caiopeia
CC Caiopeiae,03 14 05.33,+59 33 48.5,7.08,Caiopeia
HD 698,00 11 37.15,+58 12 42.6,7.08,Caiopeia
V636 Caiopeiae,01 32 43.23,+63 35 37.7,7.19,Caiopeia
HD 7924,01 21 59.12,+76 42 37.0,7.19,Caiopeia
TV Caiopeiae,00 19 18.74,+59 08 20.6,7.22,Caiopeia
HD 108,00 06 03.39,+63 40 46.8,7.4,Caiopeia
HD 221585,23 32 54.0,+63 09 20,7.47,Caiopeia
HD 13908,02 18 15.0,+65 35 40,7.51,Caiopeia
Gliee 83.3,02 01 59.06,+61 54 18.2,7.52,Caiopeia
HD 221468,23 32 47.65,+57 54 20.1,7.55,Caiopeia
HD 19557,03 11 25.33,+57 54 11.2,7.57,Caiopeia
V487 Caiopeiae,01 06 59.74,+63 46 23.4,7.6,Caiopeia
HD 16429,02 40 44.94,+61 16 56.1,7.65,Caiopeia
WZ Caiopeiae,00 01 15.85,+60 21 19.0,7.7,Caiopeia
HD 12288,02 03 30.51,+69 34 56.4,7.74,Caiopeia
HD 15558,02 32 42.54,+61 27 21.6,7.87,Caiopeia
HD 220842,23 26 37.0,+56 53 12,7.99,Caiopeia
HD 15570,02 32 49.42,+61 22 42.1,8.11,Caiopeia
V745 Caiopeiae,00 22 53.32,+62 14 29.1,8.11,Caiopeia
HD 220147,23 20 48.92,+62 24 45.2,8.12,Caiopeia
HD 17156,02 49 44.49,+71 45 11.6,8.17,Caiopeia
HD 240237,23 15 42.22,+58 02 35.7,8.17,Caiopeia
HD 17520,02 51 14.46,+60 23 09.8,8.24,Caiopeia
V641 Caiopeiae,00 09 26.34,+63 57 14.1,8.3,Caiopeia
V368 Caiopeiae,03 12 35.54,+59 55 10.9,8.32,Caiopeia
HD 240210,23 10 29.23,+57 01 46.0,8.33,Caiopeia
TW Caiopeiae,02 45 54.82,+65 43 35.1,8.38,Caiopeia
HD 15629,02 33 20.59,+61 31 18.2,8.42,Caiopeia
HD 5797,01 00 33.43,+60 26 40.9,8.47,Caiopeia
DO Caiopeiae,02 41 24.16,+60 33 11.8,8.54,Caiopeia
RW Caiopeiae,01 37 14.02,+57 45 33.2,8.58,Caiopeia
DL Caiopeiae,00 29 58.59,+60 12 43.1,8.63,Caiopeia
RX Caiopeiae,03 05 45.75,+67 34 38.6,8.64,Caiopeia
BD+60 2522,23 20 44.52,+61 11 40.6,8.7,Caiopeia
T Caiopeiae,00 23 14.27,+55 47 33.2,8.87,Caiopeia
PZ Caiopeiae,23 44 03.28,+61 47 22.2,8.9,Caiopeia
B Caiopeiae,00 54 45.95,+64 05 06.2,8.91,Caiopeia
HD 219415,23 14 54.0,+56 43 49,8.94,Caiopeia
X Caiopeiae,00 10 42.08,+54 53 29.4,8.87,Caiopeia
WW Caiopeiae,01 33 32.69,+57 45 05.4,9.1,Caiopeia
TZ Caiopeiae,23 52 56.24,+61 00 08.4,9.18,Caiopeia
AZ Caiopeiae,01 42 16.51,+61 25 16.3,9.22,Caiopeia
TX Caiopeiae,02 52 16.19,+62 46 57.5,9.33,Caiopeia
XX Caiopeiae,01 29 34.61,+60 58 04.7,9.57,Caiopeia
Z Caiopeiae,02 27 13.77,+59 27 38.2,9.6,Caiopeia
UU Caiopeiae,23 50 39.52,+60 54 39.1,9.74,Caiopeia
PV Caiopeiae,23 10 02.58,+59 12 06.1,9.86,Caiopeia
DN Caiopeiae,02 23 11.53,+60 49 50.1,9.93,Caiopeia
XY Caiopeiae,00 49 53.26,+60 07 38.6,9.97,Caiopeia
OX Caiopeiae,01 09 00.10,+61 28 14.8,10.06,Caiopeia
QQ Caiopeiae,23 45 36.75,+59 54 21.6,10.2,Caiopeia
V381 Caiopeiae,00 32 51.61,+49 19 39.3,10.22,Caiopeia
QX Caiopeiae,23 58 43.15,+61 09 39.5,10.25,Caiopeia
V547 Caiopeiae,00 32 29.43,+67 14 08.4,10.29,Caiopeia
AQ Caiopeiae,01 19 10.35,+62 23 48.4,10.31,Caiopeia
AB Caiopeiae,02 37 31.51,+71 18 16.3,10.32,Caiopeia
V459 Caiopeiae,01 11 29.92,+61 08 48.0,10.36,Caiopeia
BY Caiopeiae,01 47 11.92,+61 25 21.0,10.41,Caiopeia
VX Caiopeiae,00 31 30.68,+61 58 51.0,10.5,Caiopeia
WR 1,00 43 28.40,+64 45 35.4,10.54,Caiopeia
WC 419,00 43 18.26,+61 54 40.1,10.6,Caiopeia
CE Caiopeiae,23 58 09.31,+61 12 49.3,10.63,Caiopeia
WR 3,01 38 55.63,+58 09 22.7,10.69,Caiopeia
V364 Caiopeiae,00 52 43.01,+50 28 10.2,10.75,Caiopeia
ZZ Caiopeiae,00 33 30.38,+62 30 40.2,10.79,Caiopeia
CF Caiopeiae,23 58 17.98,+61 13 15.8,10.8,Caiopeia
L I +61 303,02 40 31.67,+61 13 45.6,10.8,Caiopeia
V523 Caiopeiae,00 40 06.26,+50 14 15.5,10.87,Caiopeia
WAP-93,00 37 50.0,+51 17 20,10.97,Caiopeia
CW Caiopeiae,00 45 52.69,+63 05 08.4,11.08,Caiopeia
2 0114+650,01 18 02.70,+65 17 29.9,11.09,Caiopeia
IR Caiopeiae,23 06 52.37,+54 04 52.2,11.14,Caiopeia
IT Caiopeiae,23 42 01.40,+51 44 36.8,11.23,Caiopeia
CG Caiopeiae,00 00 59.25,+69 57 32.2,11.28,Caiopeia
RX J0146.9+6121,01 47 00.21,+61 31 23.7,11.34,Caiopeia
IV Caiopeiae,23 49 31.53,+53 08 04.8,11.34,Caiopeia
IX Caiopeiae,00 04 50.82,+50 14 05.5,11.36,Caiopeia
WC 1080,23 17 25.58,+60 50 43.4,11.58,Caiopeia
UV Caiopeiae,23 02 14.66,+59 36 36.7,11.8,Caiopeia
B Caiopeiae,01 21 38.57,+59 10 27.1,11.84,Caiopeia
Gliee 82,01 59 23.51,+58 31 16.1,12.04,Caiopeia
V627 Caiopeiae,22 57 40.99,+58 09 12.5,12.4,Caiopeia
V592 Caiopeiae,00 20 52.22,+55 42 16.3,12.79,Caiopeia
BH Caiopeiae,00 21 21.38,+59 09 05.4,13.0,Caiopeia
IRA 23304+6147,23 32 44.79,+62 03 49.1,13.1,Caiopeia
HAT-P-44,00 56 50.3,+47 00 52,13.21,Caiopeia
LkHα 198,00 11 25.83,+58 49 28.6,13.79,Caiopeia
V664 Caiopeiae,03 03 47.01,+64 54 35.7,14.56,Caiopeia
4U 0115+634,01 18 31.90,+63 44 24.0,15.19,Caiopeia
IGR J00234+6141,00 22 57.64,+61 41 07.6,16.1,Caiopeia
V705 Caiopeiae,23 41 47.19,+57 30 59.5,16.4,Caiopeia
Tycho G,00 25 19.9,+64 08 18,17.0,Caiopeia
V723 Caiopeiae,01 05 05.36,+54 00 40.3,18.0,Caiopeia
RNO 1B,00 36 46.30,+63 28 54.1,18.6,Caiopeia
HT Caiopeiae,01 10 13.13,+60 04 35.4,19.32,Caiopeia
4U 0142+61,01 46 22.21,+61 45 03.8,25.62,Caiopeia
Alpha Centauri,14 39 40.90,-60 50 06.5,-0.01,Centauru
Beta Centauri,14 03 49.44,-60 22 22.7,0.61,Centauru
Alpha Centauri,14 39 39.39,-60 50 22.1,1.35,Centauru
Theta Centauri,14 06 41.32,-36 22 07.3,2.06,Centauru
Gaa Centauri,12 41 31.20,-48 57 35.6,2.2,Centauru
Epilon Centauri,13 39 53.27,-53 27 58.9,2.29,Centauru
Eta Centauri,14 35 30.45,-42 09 27.9,2.33,Centauru
Zeta Centauri,13 55 32.43,-47 17 17.8,2.55,Centauru
Delta Centauri,12 08 21.54,-50 43 20.7,2.58,Centauru
Iota Centauri,13 20 36.07,-36 42 43.5,2.75,Centauru
Labda Centauri,11 35 46.93,-63 01 11.4,3.11,Centauru
Kappa Centauri,14 59 09.70,-42 06 14.9,3.13,Centauru
Nu Centauri,13 49 30.30,-41 41 15.6,3.41,Centauru
u Centauri,13 49 37.01,-42 28 25.3,3.47,Centauru
Phi Centauri,13 58 16.28,-42 06 02.5,3.83,Centauru
Tau Centauri,12 37 42.33,-48 32 28.6,3.85,Centauru
Upilon1 Centauri,13 58 40.77,-44 48 12.7,3.87,Centauru
Pi Centauri,11 21 00.44,-54 29 27.7,3.9,Centauru
HD 117440,13 31 02.67,-39 24 26.2,3.9,Centauru
iga Centauri,12 28 02.41,-50 13 50.2,3.91,Centauru
Rho Centauri,12 11 39.15,-52 22 06.3,3.97,Centauru
HD 129116,14 41 57.61,-37 47 36.3,4.01,Centauru
Pi Centauri,14 20 33.48,-37 53 07.0,4.05,Centauru
HD 129456,14 43 39.48,-35 10 23.6,4.06,Centauru
HD 102350,11 46 30.85,-61 10 42.1,4.11,Centauru
2 Centauri,13 49 26.75,-34 27 02.3,4.19,Centauru
1 Centauri,13 45 41.57,-33 02 36.1,4.23,Centauru
HD 111968,12 53 26.15,-40 10 43.7,4.25,Centauru
Xi2 Centauri,13 06 54.66,-49 54 22.4,4.27,Centauru
HD 102776,11 49 41.09,-63 47 18.6,4.3,Centauru
HD 125288,14 20 19.55,-56 23 11.3,4.3,Centauru
3 Centauri,13 51 49.63,-32 59 38.5,4.32,Centauru
HD 111915,12 53 06.98,-48 56 35.7,4.33,Centauru
Upilon2 Centauri,14 01 43.49,-45 36 12.1,4.34,Centauru
Chi Centauri,14 06 02.79,-41 10 46.5,4.36,Centauru
V761 Centauri,14 23 02.26,-39 30 42.4,4.41,Centauru
V863 Centauri,12 08 05.26,-50 39 40.5,4.46,Centauru
B Centauri,11 51 08.75,-45 10 24.4,4.47,Centauru
J Centauri,13 22 37.98,-60 59 18.1,4.52,Centauru
